"","frota","ano","trimestre","latitude","longitude","dias_pesca","captura","cpue"
"54","Ubatuba",1996,2,25.75,46.25,12,680,56.66667
"55","Ubatuba",1996,2,25.75,46.25,13,650,50
"56","Santos",1995,3,25.75,45.75,8,2000,250
"57","Santos",1995,3,25.75,46.25,1,50,50
"58","Santos",1995,4,25.75,46.25,15,2000,133.33333
"59","Santos",1996,3,25.75,46.25,3.3,266.6667,80
"60","Santos",1997,4,25.75,45.75,12,3000,250
"61","Santos",1997,4,25.75,46.25,4,300,75
"62","Santos",1998,1,25.75,46.25,9,1200,133.33333
"63","Santos",1998,4,25.75,46.25,12,2000,166.66667
"64","Santos",1999,2,25.75,46.25,9.5,750,78.94737
"65","Ubatuba",1996,2,26.25,46.25,12,565,47.08333
"66","Ubatuba",1996,4,26.25,47.25,10,1300,130
"67","Ubatuba",1996,4,26.25,47.25,10,700,70
"68","Ubatuba",1999,2,26.25,46.25,12,3500,291.66667
"69","Ubatuba",1999,2,26.25,46.25,12,2800,233.33333
"70","Ubatuba",1999,2,26.25,46.25,10,1500,150
"71","Ubatuba",1999,2,26.25,46.25,12,1730,144.16667
"72","Santos",1995,2,26.25,46.75,5,2000,400
"73","Santos",1995,3,26.25,46.75,13,700,53.84615
"74","Santos",1996,3,26.25,46.25,3.3,266.6667,80
"75","Santos",1996,4,26.25,46.25,10,2000,200
"76","Santos",1996,4,26.25,46.75,9,1000,111.11111
"77","Santos",1997,3,26.25,45.75,12,6000,500
"78","Santos",1997,4,26.25,45.75,7.5,1650,220
"79","Santos",1997,4,26.25,46.25,7.5,1650,220
"80","Santos",1997,4,26.25,46.25,4,300,75
"81","Santos",1998,2,26.25,46.25,12,1800,150
"82","Santos",1998,3,26.25,46.75,5,700,140
"83","Santos",1998,4,26.25,46.25,2,1200,600
"84","Santos",1999,1,26.25,46.25,5,2250,450
"85","Santos",1999,1,26.25,46.25,10,3000,300
"86","Santos",1999,1,26.25,46.25,15,3000,200
"87","Santos",1999,1,26.25,46.25,18,3500,194.44444
"88","Santos",1999,2,26.25,46.25,8,3876,484.5
"89","Santos",1999,2,26.25,46.25,8,1351,168.875
"90","Santos",1999,2,26.25,47.75,6,900,150
"91","Santos",1999,2,26.25,47.75,7.5,1000,133.33333
"92","Santos",1999,2,26.25,46.25,2,106,53
"93","Ubatuba",1996,4,26.75,47.25,10,480,48
"94","Santos",1995,1,26.75,46.25,3,1000,333.33333
"95","Santos",1995,1,26.75,47.75,3,150,50
"96","Santos",1995,2,26.75,47.25,2,400,200
"97","Santos",1995,3,26.75,46.25,10,1000,100
"98","Santos",1995,4,26.75,46.25,5,1500,300
"99","Santos",1997,2,26.75,47.25,15,4000,266.66667
"100","Santos",1997,3,26.75,46.25,12,3000,250
"101","Santos",1997,3,26.75,46.25,2,400,200
"102","Santos",1997,3,26.75,46.25,5,900,180
"103","Santos",1997,3,26.75,46.25,10,1500,150
"104","Santos",1997,3,26.75,46.75,14,2000,142.85714
"105","Santos",1998,2,26.75,46.75,12,2900,241.66667
"106","Santos",1998,3,26.75,47.25,8,1000,125
"107","Santos",1998,3,26.75,46.25,7,600,85.71429
"108","Santos",1999,1,26.75,46.75,15,2300,153.33333
"109","Santos",1999,2,26.75,46.75,8,2385,298.125
"110","Santos",1999,4,26.75,46.75,5.5,1750,318.18182
"111","Santos",1999,4,26.75,46.75,8,1900,237.5
"112","Santos",1999,4,26.75,46.25,5,1050,210
"113","Santos",1999,4,26.75,46.75,5,1050,210
"114","Santos",1999,4,26.75,46.25,6,1000,166.66667
"115","Santos",1999,4,26.75,46.75,7,1000,142.85714
"116","Santos",1999,4,26.75,47.25,5,700,140
"117","Santos",1997,2,27.25,46.75,8,4000,500
"118","Santos",1998,1,27.25,46.75,14,1000,71.42857
"119","Santos",1998,2,27.25,47.25,3,1000,333.33333
"120","Santos",1998,3,27.25,46.75,13,2160,166.15385
"121","Santos",1998,3,27.25,46.75,13,1700,130.76923
"122","Santos",1998,4,27.25,46.75,2,700,350
"123","Santos",1998,4,27.25,46.75,4,1000,250
"124","Santos",1998,4,27.25,47.25,4,700,175
"125","Santos",1998,4,27.25,46.75,10,1500,150
"126","Santos",1998,4,27.25,46.75,11,1500,136.36364
"127","Santos",1998,4,27.25,46.75,8,800,100
"128","Santos",1999,2,27.25,47.25,6,900,150
"129","Santos",1999,2,27.25,47.25,7.5,1000,133.33333
"130","Santos",1999,3,27.25,48.25,5.5,1340,243.63636
"131","Santos",1999,4,27.25,46.75,12,2500,208.33333
"132","Santos",1999,4,27.25,46.75,10,2000,200
"133","Santos",1999,4,27.25,46.75,5,700,140
"134","Santos",1997,4,27.75,47.25,5,1342,268.4
"135","Santos",1995,2,28.25,47.25,10,1500,150
"136","Santos",1995,3,28.25,47.25,10,4000,400
"137","Santos",1995,3,28.25,47.25,12,2000,166.66667
"138","Santos",1995,4,28.25,47.75,8,4500,562.5
"139","Santos",1995,4,28.25,47.25,4,1500,375
"140","Santos",1995,4,28.25,47.25,10,3500,350
"141","Santos",1995,4,28.25,47.25,12,3500,291.66667
"142","Santos",1996,1,28.25,47.25,9,4000,444.44444
"143","Santos",1997,1,28.25,47.25,10,1300,130
"144","Santos",1997,2,28.25,47.25,8,4500,562.5
"145","Santos",1997,4,28.25,47.25,12,5700,475
"146","Santos",1998,1,28.25,47.25,10,4500,450
"147","Santos",1998,3,28.25,47.25,16,6500,406.25
"148","Santos",1998,3,28.25,47.25,12,3000,250
"149","Santos",1998,3,28.25,47.25,5,500,100
"150","Santos",1999,3,28.25,47.25,12,3500,291.66667
"151","Santos",1999,3,28.25,47.25,1.5,350,233.33333
"152","Santos",1999,3,28.25,47.25,9,1900,211.11111
"153","Santos",1999,3,28.25,46.75,5,800,160
"154","Santos",1999,3,28.25,47.25,5,800,160
"155","Santos",1999,3,28.25,47.25,13,1300,100
"156","Santos",1999,4,28.25,47.25,10,950,95
